case_id,spec_id,split,scenario,fixture_seed,generation_contract,expected,state,result
n1_r000,HS_n1_b1,DEV,change_k,29110000,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r028,HS_n1_b1,DEV,small_nonzero_g,29110028,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r029,HS_n1_b1,DEV,longer_legal_intervals,29110029,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r030,HS_n1_b1,DEV,same_input_repeat,29110030,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r031,HS_n1_b1,DEV,interleaved_contexts,29110031,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r032,HS_n1_b1,DEV,change_k,29110032,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r033,HS_n1_b1,DEV,change_q,29110033,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r034,HS_n1_b1,DEV,change_tau,29110034,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r035,HS_n1_b1,DEV,change_t,29110035,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r036,HS_n1_b1,DEV,change_omega,29110036,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r037,HS_n1_b1,DEV,change_g,29110037,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r038,HS_n1_b1,DEV,g_zero,29110038,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r039,HS_n1_b1,DEV,joint_parameters,29110039,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r040,HS_n1_b1,DEV,joint_sample,29110040,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r041,HS_n1_b1,DEV,repeat_q_then_separate,29110041,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r042,HS_n1_b1,DEV,repeat_dtau_then_separate,29110042,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r043,HS_n1_b1,DEV,change_L_analytic,29110043,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r044,HS_n1_b1,DEV,small_nonzero_g,29110044,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r045,HS_n1_b1,DEV,longer_legal_intervals,29110045,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r046,HS_n1_b1,DEV,same_input_repeat,29110046,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r047,HS_n1_b1,DEV,interleaved_contexts,29110047,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r048,HS_n1_b1,DEV,change_k,29110048,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r049,HS_n1_b1,DEV,change_q,29110049,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r050,HS_n1_b1,DEV,change_tau,29110050,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r051,HS_n1_b1,DEV,change_t,29110051,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r052,HS_n1_b1,DEV,change_omega,29110052,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r053,HS_n1_b1,DEV,change_g,29110053,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r054,HS_n1_b1,DEV,g_zero,29110054,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r055,HS_n1_b1,DEV,joint_parameters,29110055,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r056,HS_n1_b1,DEV,joint_sample,29110056,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r057,HS_n1_b1,DEV,repeat_q_then_separate,29110057,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r058,HS_n1_b1,DEV,repeat_dtau_then_separate,29110058,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r059,HS_n1_b1,DEV,change_L_analytic,29110059,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r060,HS_n1_b1,DEV,small_nonzero_g,29110060,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r061,HS_n1_b1,DEV,longer_legal_intervals,29110061,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r062,HS_n1_b1,DEV,same_input_repeat,29110062,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r063,HS_n1_b1,DEV,interleaved_contexts,29110063,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r064,HS_n1_b1,DEV,change_k,29110064,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r065,HS_n1_b1,DEV,change_q,29110065,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r066,HS_n1_b1,DEV,change_tau,29110066,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r067,HS_n1_b1,DEV,change_t,29110067,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r068,HS_n1_b1,DEV,change_omega,29110068,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r069,HS_n1_b1,DEV,change_g,29110069,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r070,HS_n1_b1,DEV,g_zero,29110070,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r071,HS_n1_b1,DEV,joint_parameters,29110071,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r072,HS_n1_b1,DEV,joint_sample,29110072,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r073,HS_n1_b1,DEV,repeat_q_then_separate,29110073,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r074,HS_n1_b1,DEV,repeat_dtau_then_separate,29110074,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r075,HS_n1_b1,DEV,change_L_analytic,29110075,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r076,HS_n1_b1,DEV,small_nonzero_g,29110076,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r077,HS_n1_b1,DEV,longer_legal_intervals,29110077,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r078,HS_n1_b1,DEV,same_input_repeat,29110078,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r079,HS_n1_b1,DEV,interleaved_contexts,29110079,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r080,HS_n1_b1,DEV,change_k,29110080,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r081,HS_n1_b1,DEV,change_q,29110081,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r082,HS_n1_b1,DEV,change_tau,29110082,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r083,HS_n1_b1,DEV,change_t,29110083,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r084,HS_n1_b1,DEV,change_omega,29110084,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r085,HS_n1_b1,DEV,change_g,29110085,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r086,HS_n1_b1,DEV,g_zero,29110086,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r087,HS_n1_b1,DEV,joint_parameters,29110087,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r088,HS_n1_b1,DEV,joint_sample,29110088,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r089,HS_n1_b1,DEV,repeat_q_then_separate,29110089,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r090,HS_n1_b1,DEV,repeat_dtau_then_separate,29110090,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r091,HS_n1_b1,DEV,change_L_analytic,29110091,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r092,HS_n1_b1,DEV,small_nonzero_g,29110092,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r093,HS_n1_b1,DEV,longer_legal_intervals,29110093,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r094,HS_n1_b1,DEV,same_input_repeat,29110094,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r095,HS_n1_b1,DEV,interleaved_contexts,29110095,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r096,HS_n1_b1,DEV,change_k,29110096,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r097,HS_n1_b1,DEV,change_q,29110097,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r098,HS_n1_b1,DEV,change_tau,29110098,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r099,HS_n1_b1,DEV,change_t,29110099,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r100,HS_n1_b1,DEV,change_omega,29110100,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r101,HS_n1_b1,DEV,change_g,29110101,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r102,HS_n1_b1,DEV,g_zero,29110102,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r103,HS_n1_b1,DEV,joint_parameters,29110103,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r104,HS_n1_b1,DEV,joint_sample,29110104,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r105,HS_n1_b1,DEV,repeat_q_then_separate,29110105,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r106,HS_n1_b1,DEV,repeat_dtau_then_separate,29110106,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r107,HS_n1_b1,DEV,change_L_analytic,29110107,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r108,HS_n1_b1,DEV,small_nonzero_g,29110108,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r109,HS_n1_b1,DEV,longer_legal_intervals,29110109,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r110,HS_n1_b1,DEV,same_input_repeat,29110110,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r111,HS_n1_b1,DEV,interleaved_contexts,29110111,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r112,HS_n1_b1,DEV,change_k,29110112,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r113,HS_n1_b1,DEV,change_q,29110113,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r114,HS_n1_b1,DEV,change_tau,29110114,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r115,HS_n1_b1,DEV,change_t,29110115,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r116,HS_n1_b1,DEV,change_omega,29110116,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r117,HS_n1_b1,DEV,change_g,29110117,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r118,HS_n1_b1,DEV,g_zero,29110118,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r119,HS_n1_b1,DEV,joint_parameters,29110119,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r120,HS_n1_b1,DEV,joint_sample,29110120,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r121,HS_n1_b1,DEV,repeat_q_then_separate,29110121,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r122,HS_n1_b1,DEV,repeat_dtau_then_separate,29110122,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r123,HS_n1_b1,DEV,change_L_analytic,29110123,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r124,HS_n1_b1,DEV,small_nonzero_g,29110124,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r125,HS_n1_b1,DEV,longer_legal_intervals,29110125,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r126,HS_n1_b1,DEV,same_input_repeat,29110126,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r127,HS_n1_b1,DEV,interleaved_contexts,29110127,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r128,HS_n1_b1,RESERVED_CONFIRMATION,change_k,29110128,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r129,HS_n1_b1,RESERVED_CONFIRMATION,change_q,29110129,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r130,HS_n1_b1,RESERVED_CONFIRMATION,change_tau,29110130,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r131,HS_n1_b1,RESERVED_CONFIRMATION,change_t,29110131,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r132,HS_n1_b1,RESERVED_CONFIRMATION,change_omega,29110132,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r133,HS_n1_b1,RESERVED_CONFIRMATION,change_g,29110133,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r134,HS_n1_b1,RESERVED_CONFIRMATION,g_zero,29110134,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
